crabworkarea_30nov2022/crab_eg_photonjet_2022Fv1
#Data tag : 22v1 , Norm tag: onlineresult
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/fb) | recorded(/fb) |
| 361223:8316 | 10/27/22 13:21:53 | 695  | 695  | 0.293704180    | 0.269672692   |
| 361239:8317 | 10/27/22 20:30:03 | 1051 | 1051 | 0.438591997    | 0.418967187   |
| 361240:8317 | 10/28/22 03:22:52 | 1015 | 1015 | 0.298465563    | 0.287573240   |
| 361272:8319 | 10/28/22 12:59:35 | 125  | 125  | 0.051676843    | 0.049330557   |
| 361280:8319 | 10/28/22 13:56:59 | 267  | 267  | 0.114338097    | 0.108477822   |
| 361283:8319 | 10/28/22 15:46:07 | 26   | 26   | 0.011136536    | 0.010478441   |
| 361284:8319 | 10/28/22 16:01:19 | 36   | 36   | 0.015206786    | 0.014525042   |
| 361297:8320 | 10/28/22 20:09:25 | 930  | 930  | 0.390741795    | 0.372020682   |
| 361303:8321 | 10/29/22 06:03:41 | 2230 | 2230 | 0.786845075    | 0.753589702   |
| 361318:8322 | 10/29/22 23:24:18 | 457  | 457  | 0.193157288    | 0.183991744   |
| 361319:8322 | 10/30/22 02:23:53 | 162  | 162  | 0.069783155    | 0.067139753   |
| 361320:8322 | 10/30/22 03:42:47 | 382  | 382  | 0.151600807    | 0.145193895   |
| 361333:8324 | 10/30/22 10:06:23 | 302  | 302  | 0.123319043    | 0.117605014   |
| 361361:8327 | 10/31/22 02:35:36 | 45   | 45   | 0.017697843    | 0.014658950   |
| 361362:8327 | 10/31/22 02:56:29 | 28   | 28   | 0.006824698    | 0.006250109   |
| 361363:8327 | 10/31/22 03:10:21 | 22   | 22   | 0.008861817    | 0.007777626   |
| 361365:8327 | 10/31/22 04:28:09 | 458  | 458  | 0.195912439    | 0.184860329   |
| 361366:8327 | 10/31/22 07:40:32 | 201  | 201  | 0.076689422    | 0.072300121   |
| 361400:8330 | 10/31/22 17:20:30 | 448  | 448  | 0.185751014    | 0.176343223   |
| 361417:8331 | 11/01/22 04:24:44 | 1622 | 1622 | 0.626878967    | 0.599746610   |
| 361443:8333 | 11/01/22 18:11:32 | 2256 | 2256 | 0.794661304    | 0.762859793   |
| 361468:8334 | 11/02/22 11:35:09 | 1877 | 1877 | 0.733097024    | 0.694525072   |
| 361475:8335 | 11/03/22 02:17:51 | 1228 | 1228 | 0.501822694    | 0.480134427   |
| 361512:8342 | 11/03/22 20:42:36 | 1537 | 1537 | 0.599549863    | 0.574518878   |
| 361569:8345 | 11/04/22 21:57:59 | 564  | 564  | 0.236592177    | 0.225755243   |
| 361573:8345 | 11/05/22 01:48:32 | 305  | 305  | 0.127214891    | 0.121254608   |
| 361579:8347 | 11/05/22 08:31:22 | 863  | 863  | 0.360112990    | 0.341312220   |
| 361580:8347 | 11/05/22 14:12:59 | 422  | 422  | 0.145582277    | 0.139653631   |
| 361957:8385 | 11/12/22 07:34:53 | 1163 | 1163 | 0.330071962    | 0.320503712   |
| 361971:8387 | 11/12/22 17:51:38 | 2337 | 2337 | 0.812759117    | 0.779593212   |
| 361989:8389 | 11/13/22 14:16:40 | 113  | 113  | 0.043212725    | 0.041118640   |
| 361990:8389 | 11/13/22 15:03:07 | 204  | 204  | 0.087683794    | 0.083851743   |
| 361994:8389 | 11/13/22 16:39:22 | 116  | 116  | 0.050161649    | 0.047229032   |
| 362058:8395 | 11/14/22 16:00:56 | 168  | 168  | 0.065592810    | 0.061502849   |
| 362059:8395 | 11/14/22 17:09:39 | 62   | 62   | 0.026535386    | 0.024947429   |
| 362060:8395 | 11/14/22 17:39:16 | 76   | 76   | 0.033061730    | 0.031690792   |
| 362061:8395 | 11/14/22 18:16:13 | 311  | 311  | 0.133982863    | 0.127250352   |
| 362062:8395 | 11/14/22 20:20:49 | 206  | 206  | 0.087764540    | 0.083123966   |
| 362063:8395 | 11/14/22 21:46:24 | 86   | 86   | 0.034086441    | 0.032610250   |
| 362064:8395 | 11/14/22 23:15:15 | 973  | 973  | 0.286004804    | 0.276035135   |
| 362087:8398 | 11/15/22 12:07:31 | 145  | 145  | 0.063697647    | 0.060160299   |
| 362091:8398 | 11/15/22 13:07:32 | 1418 | 1418 | 0.517092092    | 0.493305833   |
| 362104:8399 | 11/16/22 01:17:49 | 115  | 115  | 0.042778076    | 0.040842427   |
| 362105:8399 | 11/16/22 02:07:17 | 179  | 179  | 0.076382592    | 0.072750418   |
| 362106:8399 | 11/16/22 03:21:09 | 78   | 78   | 0.033209589    | 0.032122558   |
| 362107:8399 | 11/16/22 03:54:57 | 782  | 782  | 0.326554532    | 0.312177895   |
| 362148:8401 | 11/16/22 13:18:54 | 720  | 720  | 0.301432345    | 0.287080095   |
| 362153:8401 | 11/16/22 18:05:40 | 140  | 140  | 0.060556853    | 0.056664367   |
| 362154:8401 | 11/16/22 19:04:31 | 784  | 784  | 0.274229458    | 0.263031745   |
| 362159:8402 | 11/17/22 02:22:25 | 7    | 7    | 0.001899574    | 0.001591937   |
| 362161:8402 | 11/17/22 02:36:50 | 120  | 120  | 0.050735637    | 0.048626235   |
| 362163:8402 | 11/17/22 03:27:43 | 65   | 65   | 0.027827433    | 0.026201249   |
| 362166:8402 | 11/17/22 03:55:08 | 331  | 331  | 0.142093366    | 0.136473973   |
| 362167:8402 | 11/17/22 06:08:32 | 646  | 646  | 0.264664157    | 0.254038649   |
+-------------+-------------------+------+------+----------------+---------------+
#Summary: 
+-------+------+-------+-------+-------------------+------------------+
| nfill | nrun | nls   | ncms  | totdelivered(/fb) | totrecorded(/fb) |
+-------+------+-------+-------+-------------------+------------------+
| 47    | 117  | 50704 | 50704 | 18.232786128      | 17.373131870     |
+-------+------+-------+-------+-------------------+------------------+
#Check JSON:
#(run,ls) in json but not in results: []
crabworkarea_30nov2022/crab_eg_photonjet_2022Gv1
#Data tag : 22v1 , Norm tag: onlineresult
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/fb) | recorded(/fb) |
+-------------+-------------------+------+------+----------------+---------------+
| 362433:8456 | 11/21/22 11:32:33 | 11   | 11   | 0.004838958    | 0.003446877   |
| 362435:8456 | 11/21/22 11:43:07 | 4    | 4    | 0.001932683    | 0.001226044   |
| 362437:8456 | 11/21/22 11:53:12 | 31   | 31   | 0.011425236    | 0.009694182   |
| 362438:8456 | 11/21/22 12:30:08 | 30   | 30   | 0.008312602    | 0.007678828   |
| 362439:8456 | 11/21/22 13:08:41 | 1375 | 1375 | 0.525048554    | 0.502417703   |
| 362596:8471 | 11/23/22 20:59:10 | 37   | 37   | 0.012067815    | 0.009539195   |
| 362597:8471 | 11/23/22 21:16:31 | 140  | 140  | 0.059619113    | 0.057516583   |
| 362614:8474 | 11/24/22 06:40:41 | 153  | 153  | 0.068667623    | 0.063748412   |
| 362615:8474 | 11/24/22 07:43:24 | 153  | 153  | 0.072878009    | 0.066977470   |
| 362616:8474 | 11/24/22 08:45:49 | 351  | 351  | 0.168520845    | 0.157348271   |
| 362617:8474 | 11/24/22 11:07:17 | 244  | 244  | 0.113066485    | 0.106995981   |
| 362618:8474 | 11/24/22 12:44:47 | 277  | 277  | 0.107343481    | 0.100373598   |
| 362653:8484 | 11/25/22 07:52:25 | 268  | 268  | 0.107919870    | 0.101831902   |
| 362654:8484 | 11/25/22 09:39:58 | 26   | 26   | 0.011385880    | 0.010528116   |
| 362655:8484 | 11/25/22 10:00:15 | 334  | 334  | 0.147225841    | 0.139621073   |
| 362657:8484 | 11/25/22 12:32:34 | 199  | 199  | 0.083419653    | 0.080131631   |
| 362695:8489 | 11/26/22 00:41:11 | 335  | 335  | 0.135781261    | 0.127865035   |
| 362696:8489 | 11/26/22 02:52:10 | 1721 | 1721 | 0.606789325    | 0.580776603   |
